country,iso3,region,sub_region,population_2020,year,parent_location,obesity_low,obesity,obesity_high,overweight_low,overweight,overweight_high,underweight_low,underweight,underweight_high
New Zealand,NZL,Oceania,Australia and New Zealand,5084300,2016,Western Pacific,28.4,32,35.6,64.7,68,71.1,0.6,1,1.5
Oman,OMN,Asia,Western Asia,5106622,2016,Eastern Mediterranean,18.3,22.9,27.9,50.9,56,61.3,2.4,4,6.2
Pakistan,PAK,Asia,Southern Asia,220892331,2016,Eastern Mediterranean,5.7,7.8,10.3,22.1,26.2,30.7,11,15,19.8
Panama,PAN,Americas,Latin America and the Caribbean,4314768,2016,Americas,18,22.5,27.4,53.6,58.5,63.1,1.3,2.3,3.8
Peru,PER,Americas,Latin America and the Caribbean,32971846,2016,Americas,16,19.1,22.4,52,56.3,60.4,0.9,1.3,1.9
Philippines,PHL,Asia,South-eastern Asia,109581085,2016,Western Pacific,4.3,6,8.1,22.2,26.1,30.3,8.5,12.3,16.6
Papua New Guinea,PNG,Oceania,Melanesia,8947027,2016,Western Pacific,14,19.4,25.3,43.1,49.3,55.6,1.2,2.6,4.7
Poland,POL,Europe,Eastern Europe,37950802,2016,Europe,21.9,25.6,29.5,58.4,62.4,66.4,0.8,1.3,2
North Korea,PRK,Asia,Eastern Asia,25778815,2016,South-East Asia,4.2,7.1,10.6,28,33.5,38.8,2.9,6.4,11.9
Portugal,PRT,Europe,Southern Europe,10305564,2016,Europe,18.8,23.2,27.8,57.6,62.3,66.8,0.5,0.9,1.7
Paraguay,PRY,Americas,Latin America and the Caribbean,7132530,2016,Americas,13.9,19,24.6,45.2,50.9,56.5,0.9,2.1,4.1
Palestine,PSE,Asia,Western Asia,4803269,999,999,999,999,999,999,999,999,999,999,999
Qatar,QAT,Asia,Western Asia,2881060,2016,Eastern Mediterranean,27.7,33.9,40.5,65.2,70.3,75.3,0.6,1.3,2.3
Romania,ROU,Europe,Eastern Europe,19286123,2016,Europe,20,24.5,29.3,56.9,61.4,65.8,0.7,1.3,2.3
Russia,RUS,Europe,Eastern Europe,144104080,2016,Europe,21.7,25.7,30.1,56.5,61.1,65.6,0.8,1.4,2.2
Rwanda,RWA,Africa,Sub-Saharan Africa,12952209,2016,Africa,3.2,4.8,6.7,18.4,22,25.8,6.4,9.7,13.6
Saudi Arabia,SAU,Asia,Western Asia,34813867,2016,Eastern Mediterranean,30.5,35,39.5,65.2,69,72.9,1.2,2,2.9
Sudan,SDN,Africa,Northern Africa,43849269,2016,Eastern Mediterranean,4.9,7.4,10.5,21.6,25.7,30.2,5.8,10,15.1
Senegal,SEN,Africa,Sub-Saharan Africa,16743930,2016,Africa,5.2,7.4,9.9,21.1,24.9,28.9,7.9,12,16.8
Singapore,SGP,Asia,South-eastern Asia,5685807,2016,Western Pacific,4.6,6.6,9,29.3,33.6,37.8,3.8,5.9,8.6
Solomon Islands,SLB,Oceania,Melanesia,686878,2016,Western Pacific,15.8,20.5,25.7,45.7,51.3,57.1,1,1.9,3.2
Sierra Leone,SLE,Africa,Sub-Saharan Africa,7976985,2016,Africa,5.3,7.5,10.1,21.1,24.9,29,6.7,10.4,14.7
El Salvador,SLV,Americas,Latin America and the Caribbean,6486201,2016,Americas,18,22.7,27.7,52,56.8,61.5,1.1,2.2,3.8
Somalia,SOM,Africa,Sub-Saharan Africa,15893219,2016,Eastern Mediterranean,4.5,6.9,9.8,20.4,24.7,29.3,6.5,11.2,17.2
South Sudan,SSD,Africa,Sub-Saharan Africa,11193729,999,999,999,999,999,999,999,999,999,999,999
Serbia,SRB,Europe,Southern Europe,6908224,2016,Europe,19.1,23.5,28.1,55.9,60.7,65,0.8,1.5,2.6
Sao Tome and Principe,STP,Africa,Sub-Saharan Africa,219161,2016,Africa,7.7,10.6,14.1,27,31.6,36.4,4.5,7.7,11.8
Suriname,SUR,Americas,Latin America and the Caribbean,586634,2016,Americas,21.3,26.5,31.9,54,59,64,1.7,3.3,5.5
Slovakia,SVK,Europe,Eastern Europe,5458827,2016,Europe,17.9,22.4,27.3,54.9,59.7,64.4,0.7,1.4,2.5
Slovenia,SVN,Europe,Southern Europe,2100126,2016,Europe,17.2,22.5,28.2,55.4,60.7,65.7,0.5,1.4,3.1
Sweden,SWE,Europe,Northern Europe,10353442,2016,Europe,18.3,22.1,26,55.8,59.9,64,0.6,1.1,1.9
